ID,RefSeq_accession_number,gene_symbol,gene_name
5320,NP_940876,OLFML1,olfactomedin-like protein 1 precursor
5321,NP_001129511,NIF3L1,NIF3-like protein 1 isoform 1
5322,NP_001185808,ATP5J2-PTCD1,ATP5J2-PTCD1 fusion protein
5323,NP_004880,ATP5J2,"ATP synthase subunit f, mitochondrial isoform 2a"
5324,NP_899064,C9ORF142,uncharacterized protein C9orf142
5325,NP_863654,ACOT7,cytosolic acyl coenzyme A thioester hydrolase isoform hBACHb
5326,NP_863655,ACOT7,cytosolic acyl coenzyme A thioester hydrolase isoform hBACHc
5327,NP_056273,MTMR9,myotubularin-related protein 9
5328,NP_003807,ADAM9,disintegrin and metalloproteinase domain-containing protein 9 precursor
5329,NP_060559,ANKZF1,ankyrin repeat and zinc finger domain-containing protein 1
5330,NP_036270,AATF,protein AATF
5331,NP_001164675,UBAP1,ubiquitin-associated protein 1 isoform 1
5332,NP_002745,MAPK13,mitogen-activated protein kinase 13
5333,NP_002960,MAPK12,mitogen-activated protein kinase 12
5334,XP_003846692,GNOMON,PREDICTED: mitogen-activated protein kinase 12
5335,NP_057030,PELO,protein pelota homolog
5336,NP_064632,CABC1,"chaperone activity of bc1 complex-like, mitochondrial"
5337,NP_000893,MME,neprilysin
5338,NP_775949,FAM115C,protein FAM115C isoform A
5339,NP_001123498,FAM115C,protein FAM115C isoform B
5340,NP_694953,CILP2,cartilage intermediate layer protein 2 precursor
5341,NP_060317,C1ORF27,protein odr-4 homolog isoform 1
5342,NP_002018,FNTA,protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha
5343,NP_001899,CTSB,cathepsin B preproprotein
5344,NP_114110,FRMD8,FERM domain-containing protein 8
5345,NP_008929,SCGN,secretagogin
5346,NP_001052,TBXAS1,thromboxane-A synthase isoform 1
5347,NP_001138612,CXORF49,putative uncharacterized protein CXorf49
5348,XP_003960877,GNOMON,PREDICTED: uncharacterized protein CXorf49-like
5349,NP_001107590,C17ORF85,uncharacterized protein C17orf85
5350,NP_001231,CCNT1,cyclin-T1 isoform a
5351,NP_001026890,GSTCD,glutathione S-transferase C-terminal domain-containing protein isoform 1
5352,NP_079194,DSN1,kinetochore-associated protein DSN1 homolog isoform 1
5353,NP_006234,PPP2R5A,serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform isoform 1
5354,NP_078889,PLEKHF2,pleckstrin homology domain-containing family F member 2
5355,NP_077286,PLEKHF1,pleckstrin homology domain-containing family F member 1
5356,NP_001264125,PHF20L1,PHD finger protein 20-like protein 1 isoform 4
5357,NP_940915,PHF20L1,PHD finger protein 20-like protein 1 isoform 3
5358,NP_116119,RTN4IP1,"reticulon-4-interacting protein 1, mitochondrial precursor"
5359,NP_060544,CCDC94,coiled-coil domain-containing protein 94
5360,NP_065921,SH3RF1,E3 ubiquitin-protein ligase SH3RF1
5361,NP_689763,SH3RF2,putative E3 ubiquitin-protein ligase SH3RF2
5362,NP_001092759,SH3RF3,SH3 domain-containing RING finger protein 3 precursor
5363,NP_060497,FRMD4A,FERM domain-containing protein 4A
5364,NP_055938,FRMD4B,FERM domain-containing protein 4B
5365,NP_001257904,IST1,IST1 homolog isoform a
5366,NP_001257906,IST1,IST1 homolog isoform d
5367,NP_006808,ERP29,endoplasmic reticulum resident protein 29 isoform 1 precursor
5368,NP_001137532,NHSL1,NHS-like protein 1 isoform 2
5369,NP_116164,KLHL22,kelch-like protein 22
5370,NP_001123617,YAP1,yorkie homolog isoform 1
5371,NP_001181973,YAP1,yorkie homolog isoform 3
5372,NP_006097,YAP1,yorkie homolog isoform 2
5373,NP_057386,CRBN,protein cereblon isoform 1
5374,NP_066983,BAT5,abhydrolase domain-containing protein 16A isoform a
5375,NP_006075,IRF9,interferon regulatory factor 9
5376,NP_002779,PSMA3,proteasome subunit alpha type-3 isoform 1
5377,NP_996892,FAM45A,protein FAM45A
5378,NP_000008,ACADS,"short-chain specific acyl-CoA dehydrogenase, mitochondrial precursor"
5379,NP_991403,LSR,lipolysis-stimulated lipoprotein receptor isoform 2
5380,NP_001247418,LSR,lipolysis-stimulated lipoprotein receptor isoform 4
5381,NP_004610,TRAF5,TNF receptor-associated factor 5
5382,NP_003291,TRAF3,TNF receptor-associated factor 3 isoform 1
5383,NP_056182,BCL2L13,bcl-2-like protein 13 isoform a
5384,NP_006320,FBLN5,fibulin-5 precursor
5385,NP_064709,CIAPIN1,anamorsin
5386,NP_064512,TUFT1,tuftelin isoform 1
5387,NP_001119809,TUFT1,tuftelin isoform 2
5388,NP_076413,BRD9,bromodomain-containing protein 9 isoform 1
5389,NP_689876,RALGPS2,ras-specific guanine nucleotide-releasing factor RalGPS2
5390,NP_060517,RBM22,pre-mRNA-splicing factor RBM22
5391,NP_620147,LEO1,RNA polymerase-associated protein LEO1
5392,NP_113642,SELO,selenoprotein O
5393,NP_003187,TCEA3,transcription elongation factor A protein 3
5394,NP_002517,NT5E,5'-nucleotidase isoform 1 preproprotein
5395,NP_003394,YY1,transcriptional repressor protein YY1
5396,NP_996806,YY2,transcription factor YY2
5397,NP_001116698,MTO1,"protein MTO1 homolog, mitochondrial isoform c"
5398,NP_003482,NAA10,N-alpha-acetyltransferase 10 isoform 1
5399,NP_116082,NAA11,N-alpha-acetyltransferase 11
5400,NP_113673,GRWD1,glutamate-rich WD repeat-containing protein 1
5401,NP_005917,MFAP1,microfibrillar-associated protein 1
5402,NP_060761,FGGY,FGGY carbohydrate kinase domain-containing protein isoform b
5403,NP_113668,RIOK1,serine/threonine-protein kinase RIO1 isoform 1
5404,NP_002724,PRKAG1,5'-AMP-activated protein kinase subunit gamma-1 isoform 1
5405,NP_057287,PRKAG2,5'-AMP-activated protein kinase subunit gamma-2 isoform a
5406,NP_059127,PRKAG3,5'-AMP-activated protein kinase subunit gamma-3
5407,NP_031373,AP4E1,AP-4 complex subunit epsilon-1 isoform 1
5408,NP_001193581,SH3GLB1,endophilin-B1 isoform 3
5409,NP_001193580,SH3GLB1,endophilin-B1 isoform 2
5410,NP_001193582,SH3GLB1,endophilin-B1 isoform 4
5411,NP_056461,RAP1B,ras-related protein Rap-1b isoform 1 precursor
5412,NP_002875,RAP1A,ras-related protein Rap-1A
5413,NP_008896,ZNF24,zinc finger protein 24
5414,NP_001186743,GNOMON,putative zinc finger protein 812
5415,NP_689567,ZNF285,zinc finger protein 285
5416,NP_001123468,ZNF222,zinc finger protein 222 isoform 1
5417,NP_037493,ZNF223,zinc finger protein 223
5418,NP_065858,ZNF319,zinc finger protein 319
5419,NP_037530,ZNF224,zinc finger protein 224
5420,NP_085137,ZNF436,zinc finger protein 436
5421,NP_001027544,ZNF226,zinc finger protein 226 isoform a
5422,NP_001076804,ZFP112,zinc finger protein 112 isoform 1
5423,NP_037494,ZNF225,zinc finger protein 225
5424,NP_659570,ZKSCAN5,zinc finger protein with KRAB and SCAN domains 5
5425,NP_689650,ZNF664,zinc finger protein 664
5426,NP_852466,ZNF445,zinc finger protein 445
5427,NP_958357,ZNF644,zinc finger protein 644 isoform 1
5428,NP_005885,CD5L,CD5 antigen-like precursor
5429,NP_001439,GPC4,glypican-4 precursor
5430,NP_005699,GPC6,glypican-6 precursor
5431,NP_055908,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
5432,NP_006068,CBARA1,"calcium uptake protein 1, mitochondrial isoform 1"
5433,NP_000020,AGT,angiotensinogen preproprotein
5434,NP_006281,TNFAIP3,tumor necrosis factor alpha-induced protein 3
5435,NP_067643,PDLIM2,PDZ and LIM domain protein 2 isoform 2
5436,NP_789847,PDLIM2,PDZ and LIM domain protein 2 isoform 1
5437,NP_001432,FAAH,fatty-acid amide hydrolase 1
5438,NP_071440,RRAGC,ras-related GTP-binding protein C isoform 1
5439,NP_067067,RRAGD,ras-related GTP-binding protein D
5440,NP_976060,BDH1,"D-beta-hydroxybutyrate dehydrogenase, mitochondrial precursor"
5441,NP_001265488,ZNF316,zinc finger protein 316
5442,NP_079017,ZNF408,zinc finger protein 408 isoform 1
5443,NP_060200,QRICH1,glutamine-rich protein 1
5444,NP_000894,NQO1,NAD(P)H dehydrogenase
5445,NP_000365,UROD,uroporphyrinogen decarboxylase
5446,NP_001127703,NT5DC2,5'-nucleotidase domain-containing protein 2 isoform 1
5447,NP_073568,NUCKS1,nuclear ubiquitous casein and cyclin-dependent kinase substrate 1
5448,NP_112179,FIP1L1,pre-mRNA 3'-end-processing factor FIP1 isoform 1
5449,NP_005872,BCKDK,[inectin isoform a
5450,NP_002538,OPHN1,oligophrenin-1
5451,NP_005717,TSFM,"elongation factor Ts, mitochondrial isoform 2 precursor"
5452,NP_001139013,TCP11L1,T-complex protein 11-like protein 1
5453,NP_079139,TCEAL4,transcription elongation factor A protein-like 4
5454,NP_525129,TCEAL2,transcription elongation factor A protein-like 2
5455,NP_003192,TFAM,"transcription factor A, mitochondrial isoform 1 precursor"
5456,NP_061857,SSH1,protein phosphatase Slingshot homolog 1 isoform 1
5457,NP_203747,SSH2,protein phosphatase Slingshot homolog 2
5458,NP_775922,FSIP2,fibrous sheath-interacting protein 2
5459,NP_976225,ZRANB2,zinc finger Ran-binding domain-containing protein 2 isoform 1
5460,NP_001238978,PCMT1,protein-L-isoaspartate(D-aspartate) O-methyltransferase isoform 2
5461,NP_055660,FIG4,polyphosphoinositide phosphatase
5462,NP_057260,SDF4,45 kDa calcium-binding protein isoform 2 precursor
5463,NP_057631,SDF4,45 kDa calcium-binding protein isoform 1 precursor
5464,NP_000160,GLA,alpha-galactosidase A precursor
5465,NP_006362,CRTAP,cartilage-associated protein precursor
5466,NP_006446,SC65,synaptonemal complex protein SC65 precursor
5467,NP_036399,HSPBP1,hsp70-binding protein 1
5468,NP_742000,CBWD2,COBW domain-containing protein 2
5469,NP_001138827,CBWD1,COBW domain-containing protein 1 isoform 2
5470,NP_001138828,CBWD1,COBW domain-containing protein 1 isoform 3
5471,NP_001078926,CBWD6,COBW domain-containing protein 6
5472,XP_003960503,GNOMON,PREDICTED: COBW domain-containing protein 5-like
5473,NP_671717,FBXO22,F-box only protein 22 isoform a
5474,NP_001186621,SLC4A2,anion exchange protein 2 isoform 1
5475,NP_963868,SLC4A3,anion exchange protein 3 isoform 2
5476,NP_005524,IFI35,interferon-induced 35 kDa protein
5477,NP_001184224,ECM2,extracellular matrix protein 2 isoform 2 precursor
5478,NP_055717,DLGAP4,disks large-associated protein 4 isoform a
5479,NP_892118,DLGAP4,disks large-associated protein 4 isoform b
5480,NP_057407,HERC5,E3 ISG15--protein ligase HERC5
5481,NP_060244,CDKAL1,threonylcarbamoyladenosine tRNA methylthiotransferase
5482,NP_787050,PAN3,PAB-dependent poly(A)-specific ribonuclease subunit 3
5483,NP_055439,S100A6,protein S100-A6
5484,NP_055313,GOLIM4,Golgi integral membrane protein 4
5485,NP_004555,PET112L,"glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial precursor"
5486,NP_004986,MMP14,matrix metalloproteinase-14 preproprotein
5487,NP_056480,AAAS,aladin isoform 1
5488,NP_004614,TTC4,tetratricopeptide repeat protein 4
5489,NP_002022,FRK,tyrosine-protein kinase FRK
5490,NP_001184147,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D isoform PDE4D5"
5491,NP_001184149,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D isoform PDE4D9"
5492,NP_001098101,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D isoform PDE4D4"
5493,NP_006194,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D isoform PDE4D3"
5494,NP_001032417,PDE4B,"cAMP-specific 3',5'-cyclic phosphodiesterase 4B isoform 3"
5495,NP_001104777,PDE4A,"cAMP-specific 3',5'-cyclic phosphodiesterase 4A isoform 1"
5496,NP_001184151,PDE4D,"cAMP-specific 3',5'-cyclic phosphodiesterase 4D isoform PDE4D1"
5497,NP_000914,PDE4C,"cAMP-specific 3',5'-cyclic phosphodiesterase 4C isoform PDE4C1"
5498,NP_055986,XPO6,exportin-6 isoform 2
5499,NP_001186036,TBC1D24,TBC1 domain family member 24 isoform 1
5500,NP_065756,TBC1D24,TBC1 domain family member 24 isoform 2
5501,NP_004484,HSD17B10,3-hydroxyacyl-CoA dehydrogenase type-2 isoform 1
5502,NP_009035,RPL10A,60S ribosomal protein L10a
5503,NP_003529,HIST1H4A,histone H4
5504,NP_000217,KRT9,"keratin, type I cytoskeletal 9"
5505,NP_060367,OXSM,3-oxoacyl
5506,NP_002901,RENBP,N-acylglucosamine 2-epimerase
5507,NP_203125,CASP7,caspase-7 isoform alpha precursor
5508,NP_203124,CASP7,caspase-7 isoform delta
5509,NP_001253986,CASP7,caspase-7 isoform e
5510,NP_003183,TBCC,tubulin-specific chaperone C
5511,NP_004228,TRIP13,pachytene checkpoint protein 2 homolog isoform 1
5512,NP_073591,SFXN1,sideroflexin-1
5513,NP_112233,SFXN3,sideroflexin-3
5514,NP_036345,MLYCD,"malonyl-CoA decarboxylase, mitochondrial"
5515,NP_071933,ATG3,ubiquitin-like-conjugating enzyme ATG3 isoform 1
5516,NP_002200,ITGAL,integrin alpha-L isoform a precursor
5517,NP_001116080,HCCS,cytochrome c-type heme lyase
5518,NP_001883,CSNK1A1,casein kinase I isoform alpha isoform 2
5519,NP_001258670,CSNK1A1,casein kinase I isoform alpha isoform 3
5520,NP_001258671,CSNK1A1,casein kinase I isoform alpha isoform 4
5521,NP_660204,CSNK1A1L,casein kinase I isoform alpha-like
5522,NP_068811,RXRB,retinoic acid receptor RXR-beta isoform 2
5523,NP_002948,RXRA,retinoic acid receptor RXR-alpha
5524,NP_005225,NR2F6,nuclear receptor subfamily 2 group F member 6
5525,NP_003288,NR2C1,nuclear receptor subfamily 2 group C member 1 isoform a
5526,NP_008848,RXRG,retinoic acid receptor RXR-gamma isoform a
5527,NP_055422,UBXN4,UBX domain-containing protein 4
5528,NP_710154,IKBIP,inhibitor of nuclear factor kappa-B kinase-interacting protein isoform 1
5529,NP_963906,IKBIP,inhibitor of nuclear factor kappa-B kinase-interacting protein isoform 2
5530,NP_444279,CNTROB,centrobin isoform alpha
5531,NP_000181,HMBS,porphobilinogen deaminase isoform 1
5532,NP_005392,PTPN14,tyrosine-protein phosphatase non-receptor type 14
5533,NP_008970,PTPN21,tyrosine-protein phosphatase non-receptor type 21
5534,NP_060566,NLE1,notchless protein homolog 1 isoform a
5535,NP_057604,C9ORF78,uncharacterized protein C9orf78
5536,NP_064569,CNNM4,metal transporter CNNM4 precursor
5537,NP_060119,CNNM2,metal transporter CNNM2 isoform 1
5538,NP_001668,ATP1B1,sodium/potassium-transporting ATPase subunit beta-1
5539,NP_996895,AP3M1,AP-3 complex subunit mu-1
5540,NP_006794,AP3M2,AP-3 complex subunit mu-2
5541,NP_945344,STAC2,SH3 and cysteine-rich domain-containing protein 2
5542,NP_000966,RPL11,60S ribosomal protein L11 isoform 1
5543,NP_001186731,RPL11,60S ribosomal protein L11 isoform 2
5544,NP_003646,CBX4,E3 SUMO-protein ligase CBX4
5545,NP_079087,CPSF7,cleavage and polyadenylation specificity factor subunit 7 isoform 1
5546,NP_001136037,CPSF7,cleavage and polyadenylation specificity factor subunit 7 isoform 3
5547,NP_116249,LTV1,protein LTV1 homolog
5548,NP_057041,APIP,methylthioribulose-1-phosphate dehydratase
5549,NP_001153416,EVI5L,EVI5-like protein isoform 1
5550,NP_006296,ANP32A,acidic leucine-rich nuclear phosphoprotein 32 family member A
5551,NP_006392,ANP32B,acidic leucine-rich nuclear phosphoprotein 32 family member B
5552,NP_036535,ANP32C,acidic leucine-rich nuclear phosphoprotein 32 family member C
5553,NP_079506,DCAF11,DDB1- and CUL4-associated factor 11 isoform 1
5554,NP_060533,HELLS,lymphoid-specific helicase
5555,NP_006004,RPL10A,60S ribosomal protein L10 isoform a
5556,NP_001243506,RPL10A,60S ribosomal protein L10 isoform b
5557,NP_055054,EIF2B2,translation initiation factor eIF-2B subunit beta
5558,NP_009126,POLI,DNA polymerase iota
5559,NP_001119575,RACGAP1,rac GTPase-activating protein 1
5560,NP_055764,KIAA0907,UPF0469 protein KIAA0907
5561,NP_387506,DAP3,"28S ribosomal protein S29, mitochondrial isoform 1"
5562,NP_001186779,DAP3,"28S ribosomal protein S29, mitochondrial isoform 2"
5563,NP_000476,APRT,adenine phosphoribosyltransferase isoform a
5564,NP_001003,RPS8,40S ribosomal protein S8
5565,NP_005821,MRPS31,"28S ribosomal protein S31, mitochondrial"
5566,NP_997080,ADAM15,disintegrin and metalloproteinase domain-containing protein 15 isoform 6 preproprotein
5567,NP_001248394,ADAM15,disintegrin and metalloproteinase domain-containing protein 15 isoform 8 preproprotein
5568,NP_060606,ASPM,abnormal spindle-like microcephaly-associated protein isoform 1
5569,NP_068593,MRPS35,"28S ribosomal protein S35, mitochondrial isoform 1 precursor"
5570,NP_000850,HMGCR,3-hydroxy-3-methylglutaryl-Coenzyme A reductase isoform 1
5571,NP_114402,NDRG3,protein NDRG3 isoform a
5572,NP_071922,NDRG3,protein NDRG3 isoform b
5573,NP_006807,LMAN2,vesicular integral-membrane protein VIP36 precursor
5574,NP_115805,LZTS2,leucine zipper putative tumor suppressor 2
5575,NP_055546,GNOMON,leucine zipper putative tumor suppressor 3
5576,NP_060337,HPF1,UPF0609 protein C4orf27
5577,NP_690870,TANGO2,transport and Golgi organization 2 homolog
5578,NP_001746,CBFB,core-binding factor subunit beta isoform 2
5579,NP_074036,CBFB,core-binding factor subunit beta isoform 1
5580,NP_113649,CRISPLD1,cysteine-rich secretory protein LCCL domain-containing 1 precursor
5581,NP_002856,RAB2A,ras-related protein Rab-2A isoform a
5582,NP_116235,RAB2B,ras-related protein Rab-2B isoform 1
5583,NP_001004,RPS8,40S ribosomal protein S9
5584,NP_068749,RINT1,RAD50-interacting protein 1
5585,NP_001028693,CSTF1,cleavage stimulation factor subunit 1
5586,NP_000467,AK1,adenylate kinase isoenzyme 1
5587,NP_777283,AK5,adenylate kinase isoenzyme 5 isoform 1
5588,NP_061981,SMG9,protein SMG9
5589,NP_000115,ERCC6,DNA excision repair protein ERCC-6
5590,NP_001263987,ERCC6,Cockayne syndrome B-piggyBac fusion protein
5591,NP_057070,CRLF3,cytokine receptor-like factor 3
5592,NP_079431,PAAF1,proteasomal ATPase-associated factor 1 isoform 2
5593,NP_002785,PSMB2,proteasome subunit beta type-2 isoform 1
5594,NP_001186708,PSMB2,proteasome subunit beta type-2 isoform 2
5595,NP_001186709,PSMB2,proteasome subunit beta type-2 isoform 3
5596,NP_005779,PRMT3,protein arginine N-methyltransferase 3 isoform 1
5597,NP_001138639,PRMT3,protein arginine N-methyltransferase 3 isoform 3
5598,NP_110396,NPL,N-acetylneuraminate lyase isoform 1
5599,NP_001153408,EBNA1BP2,probable rRNA-processing protein EBP2 isoform 1
5600,NP_002506,NOVA1,RNA-binding protein Nova-1 isoform 1
5601,NP_002507,NOVA2,RNA-binding protein Nova-2
5602,NP_006294,AIMP2,aminoacyl tRNA synthase complex-interacting multifunctional protein 2
5603,NP_149075,FANCD2,Fanconi anemia group D2 protein isoform a
5604,NP_060366,GID8,glucose-induced degradation protein 8 homolog
5605,NP_002572,PAPPA,pappalysin-1 preproprotein
5606,NP_006232,PPP1R2,protein phosphatase inhibitor 2
5607,NP_076415,ZSCAN18,zinc finger and SCAN domain-containing protein 18 isoform 3
5608,NP_001139016,ZSCAN18,zinc finger and SCAN domain-containing protein 18 isoform 2
5609,NP_000961,RPL6,60S ribosomal protein L6
5610,NP_003969,PSTPIP1,proline-serine-threonine phosphatase-interacting protein 1
5611,NP_060092,BORCS6,uncharacterized protein C17orf59
5612,NP_001153803,NFASC,neurofascin isoform 2 precursor
5613,NP_001004439,ITGA11,integrin alpha-11 precursor
5614,NP_116262,UBASH3B,ubiquitin-associated and SH3 domain-containing protein B
5615,NP_061834,UBASH3A,ubiquitin-associated and SH3 domain-containing protein A isoform 1
5616,NP_149975,PIGS,GPI transamidase component PIG-S
5617,NP_003680,AKR7A2,aflatoxin B1 aldehyde reductase member 2
5618,NP_036199,AKR7A3,aflatoxin B1 aldehyde reductase member 3
5619,NP_056272,ZDHHC5,palmitoyltransferase ZDHHC5
5620,NP_037505,ZDHHC8,probable palmitoyltransferase ZDHHC8 isoform 2
